"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2021019463","4","5","","","","N","03","","DILLER AV","4","","36"
"2021119731","3","3","3017","0440","0","S","2","35","CHURCH ST","2","3","36"
"2021095741","3","3","4011","0070","0","S","2","40","FRUITVILLE PK","2","3","36"
"2021078943","3","3","0072","0320","0","N","2","25","LEBANON RD","2","3","36"
"2021082389","4","3","","","","E","2","25","CEDAR RD","4","","36"
"2021016302","5","4","","","","N","02","25","S LIME ST","4","","36"
"2021000808","3","3","0322","0310","0","E","2","35","28TH DIVISION HW","2","3","36"
"2021093076","3","3","7076","0070","1056","W","4","65","EAST/WEST PK","5","1","36"
"2021034701","3","3","0462","0170","2694","E","3","40","COLUMBIA AV","2","3","36"
"2021076568","4","4","","","","E","02","45","STONEY LN","4","","36"
"2021021443","3","3","0222","0771","1893","S","2","65","","2","1","36"
"2021044649","3","3","0372","0130","2490","W","2","55","HOLTWOOD RD","2","3","36"
"2021010122","3","3","0023","0580","0","W","2","40","MAIN ST","2","3","36"
"2021047970","3","4","","","","N","02","55","FAIRVIEW RD","4","","36"
"2021013862","5","4","","","","E","02","45","COCALICO CREEK RD","4","","36"
"2021038785","4","5","","","","S","02","35","CENTERVILLE RD","4","","36"
"2021004903","3","3","4008","0120","528","E","2","40","TURNPIKE RD","2","3","36"
"2021088794","3","3","0030","0261","159","W","3","55","LINCOLN HW","2","1","36"
"2021118565","3","3","0741","0040","0","N","2","35","ROHRERSTOWN RD","2","3","36"
"2021040572","3","3","4020","0080","0","W","2","35","HARRISBURG PK","2","3","36"
"2021103467","4","4","0897","0440","0","W","2","35","SWARTZVILLE RD","2","3","36"
"2021020887","5","5","","","","N","02","","BOMBERGER RD","4","","36"
"2021123870","4","3","","","","E","02","25","W LEMON ST","4","","36"
