"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2021115240,"99","1","1605 LANCASTER AVENUE","","COLUMBIA","PA","17512","MUSSER SUPPLY INC","7176842243","052000","3","","","","Y","1","","","","","N","","2","00010892","03"
2021120180,"03","1","101 W HARRISBURG AVE PA BOX 26","","RHEEMS","PA","17570","WFM TRANSPORT INC","7175782455","018028","","","","","N","","","","","","","","2","00822830","08"
2021029093,"99","2","6017 EAST CALLA RD","","NEW HIDDLETOWN","OH","44442","VENEZIA TRANSPORT SERVICE","6104955200","999999","","","","","N","","","","","","N","A-0105332","2","01079986","08"
2021041413,"04","4","401 LONG LANE","","LANCASTER","PA","17603","THOMAS LAWN CARE","7176664507","026100","","","","","N","","","","","","N","","2","03568095","04"
2021047162,"02","1","POB 563","","READING","PA","196037830","PENSKE","8005260798","026000","","","","","N","","","","","","N","","1","00327574","03"
2021053966,"03","1","11690 NW 105 ST","","MIAMI","FL","33178","RYDER TRUCK RENTAL INC","3056337497","080000","","","","","N","","","","","","N","","1","01873432","08"
2021053966,"03","1","11690 NW 105 ST","","MIAMI","FL","33178","RYDER TRUCK RENTAL INC","3056337497","080000","","","","","N","","","","","","N","","2","01873432","08"
2021056395,"03","1","2820 16TH ST","","NORTH BERGEN","NJ","07047","KEYSTONE FREIGHT CORP","2013303615","080000","","","","","N","","","","","","N","","3","00189169","08"
2021121785,"99","6","2112 E LIPPINCOTT ST","","PHILADELPHIA","PA","19134","TIRADO BRITO, DAMASO","2679787347","999999","","","","","N","","","","","","","0","1","03248395","08"
2021125672,"03","1","139 RTE 46","","HACKETTSTOWN","NJ","07840","MID-ALANTIC XPRESS","9088529190","080000","","","","","N","","","","","","","","2","00606734","08"
2021019491,"03","3","20812 E 550TH ST","","COLONA","IL","61241","SIMPLEX LEASING CO","8002526451","080000","","","","","N","","","","","","U","0","1","01758856","08"
2021019818,"02","1","1100 CORPORATE BLVD","","LANCASTER","PA","17601","ENGLE PRINTING AND PUBLISHING CO","7176531833","026000","","","","","N","","","","","","N","","1","00279588","03"
2021019818,"02","8","1370 WASHINGTON  PIKE","","BRIDGEVILLE","PA","15017","STA OF PENSSYLVANIA","6104216039","999999","","","","","N","","","","","","N","A-00117073","3","00818076","12"
2021050417,"99","0","183 S MARKET ST PO BOX 715","","EPHRATA","PA","17522","RICHARD L SENSENIG CO","9999999999","013000","","","","","N","","","","","","U","","2","","02"
2021086992,"","4","91 BRENDA LANE","","CAMDEN WYOMING","DE","19934","JIMMY SMALLS LANDSCAPING LLC","3027300150","073280","","","","","N","","","","","","N","","1","03329947","05"
2021122038,"04","99","3869 OLD HARRISBURG PIKE","","MOUNT JOY","PA","17552","JOHN KLINE SEPTIC SERVICES LLC","7174900299","073280","","","","","N","","","","","","","","2","00229840","04"
2021016056,"05","1","350 COUNTY RD","","JERSEY CITY","NJ","07307","GOYA FOODS INC","2013484900","080000","","","","","N","","","","","","N","","3","00023451","08"
2021051276,"05","1","UNKNOWN","","UNKNOWN","ZZ","99999-9999","UNKNOWN","9999999999","080000","","","","","N","","","","","","N","","2","99999999","08"
2021067406,"05","1","125 SHADY LANE","","QUARRYVILLE","PA","17566","ODONNELL BROS. TRANSPORT INC.","7175875776","065000","","","","","N","","","","","","N","","4","01579061","08"
2021067582,"02","4","5800 ROUTE 982","","NEW DERRY","PA","15671","KUHNS BROTHERS CONSTRUCTION INC","7246945424","048000","","","","","N","","","","","","N","","1","03281090","03"
2021073422,"04","4","21 E TROUT RUN RD","","EPHRATA","PA","17557","NEWSWANGER","7177384180","073280","","","","","N","","","","","","N","0","2","01383629","09"
2021086063,"04","5","248 E COUNTY LINE RD","","HATFIELD","PA","19040","DELAWARE VALLEY CONCRETE COMPANY","2156758900","073288","","","","","N","","","","","","N","","1","00336810","04"
2021086088,"99","9","2388 N MARKET STREET","","ELIZABETHTOWN","PA","17022","CHARLES E CROWE &SON INC","9999999999","999999","","","","","N","","","","","","U","","2","","99"
2021124578,"99","99","126 EAST 28TH DIVISION HWY","","LITITZ","PA","17543","LITITZ TOWING CO.","9999999999","026000","","","","","N","","","","","","","","2","","99"
2022000737,"03","99","125 HICKORY ROAD","","DENVER","PA","175179474","HICKORY RUN TRANSPORT","7175870172","080000","","","","","N","","","","","","","","1","02907247","08"
2022000737,"03","99","3583 LINCOLN HWY E","","KINZERS","PA","17535","OSCEOLA CRANE SERVICES LLC","7177252156","057097","","","","","N","","","","","","","","2","03071467","04"
2021110147,"02","8","102 MARTIC HEIGHTS","","HOLTWOOD","PA","17532","DAVID ESCHBACK INC.","7175721961","","","","","","N","","","","","","","","1","00387575","12"
2021058146,"03","6","6760 OLD STATE ROAD","","CASTORLAND","NY","13620","ROGGIE AUTO TRANSPORT","9999999999","080000","","","","","N","","","","","","N","","2","","08"
2021074154,"04","2","221 E STATE ST PO BOX 321","","QUARRYVILLE","PA","17566","MILKY HAVEN FARMS, LP","7177862178","080000","","","","","N","","","","","","N","","1","00450818","08"
2021040875,"99","6","1780 HARVEST DR","","FREDERICK","MD","21702","D WILLS TRUCKING LLC","2407937241","080000","","","","","N","","","","","","N","","3","01405707","08"
2021013401,"05","1","2940 PILLSBURY AVE S STE 214","","MINNEAPOLIS","MN","55454","CENTRAL TRUCKING LLC","9526882673","080000","","","","","N","","","","","","N","","1","02475747","08"
2021039517,"04","4","342 SELL RD","","MOHNTON","PA","19540","CYLCEWSKI,MICHAEL PAUL","6108561808","073280","","","","","N","","","","","","N","","1","01358898","04"
2021070047,"04","2","1101 NEWCOMBER RD","","MOUNT JOY","PA","17552","SNYDERS CROP SERVICE LLC","7176531120","073280","","","","","N","","","","","","N","","1","01129029","04"
2021122889,"02","4","2 S HESS STREET","","QUARRYVILLE","PA","17566","OAK SHADE TREE SERVICE","7175298737","034000","","","","","N","","","","","","N","","2","03576324","02"
2021125057,"99","99","810 SALE BARN RD PO BOX 5","","KREAMER","PA","17833","HACKENBERG BROTHERS INC","9999999999","025500","","","","","N","","","","","","","","2","","99"
2021123649,"99","99","220 EBY CHIQUES RD","","MOUNT JOY","PA","17552","ESBENSHADE MILLS FARMS","7176538061","999999","","","","","N","","","","","","","","1","01841577","08"
2021091116,"04","7","270 WOHLSEN WAY","","LANCASTER","PA","17603","WASTE MANAGEMENT","8008695566","066000","","","","","N","","","","","","U","","2","00344050","04"
2021017019,"05","1","855 BARLOW ST","","PHILADELPHIA","PA","19116","ODESSA MAMA INC","7175555555","999999","","","","","N","","","","","","U","","1","02791824","08"
2021055710,"02","1","77 WITMAN RD","","READING","OA","19605","ELENI TRADING CO","6109298888","026000","","","","","N","","","","","","N","","2","02458821","03"
