"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2016005772,"03","9","5340 WEST 81ST,","","INDIANAPOLIS","IN","46268","SPLASH TRANSPORT INC.","8665733774","","","","","","N","","","","","","N","","3","01765150","08"
2016021598,"05","9","16 W STRACK DR","","MYERSTOWN","PA","17067","BRUNELL NOLT","7178210537","999999","","","","","N","","","","","","N","","2","00251155","08"
2016026193,"05","1","31342 KENDALE RD","","LEWES","DE","19958","QUALITY LEASING CO INC","6104955200","018500","","","","","N","","","","","","N","","1","02366635","08"
2016026193,"05","2","PO BOX 909","","ROYERSFORD","PA","19468","VENEZIA HAULING INC","6103576382","080000","","","","","N","","","","","","N","","2","01079966","09"
2016032250,"02","3","4514 FARAWAY DR","","FELTON","PA","17322","R & E TRUCKING SERVICES","7179932380","033000","","","","","N","","","","","","N","","3","00764090","03"
2016037930,"03","7","4361 OREGON PIKE","","EPHRATA","PA","17522","GOOD'S DISPOSAL SERVICES","7178591879","073280","","","","","N","","","","","","N","","1","02074205","04"
2016037930,"02","1","503 INDUSTRIAL DR","","LEWISBERRY","PA","17339","OPTIMAS OE SOLUTIONS LLC","7179327400","025999","","","","","N","","","","","","N","","3","02639985","03"
2016038581,"99","9","219 PASCHALL MILL ROAD","","WEST GROVE","PA","19390","WARDELL TRUCKING LLC","6106367793","079000","","","","","N","","","","","","N","","1","00670449","08"
2016038581,"02","5","3912 BRUMBAUGH ROAD, PO","","NEW ENTERPRISE","PA","16664","NEW ENTERPRISE STONE & LIME QUAR","7173354503","064000","","","","","N","","","","","","N","","2","00103221","05"
2016044218,"05","9","1705 POLL FORGE ROAD","","NARVON","PA","17555","KIRBY MARTIN","7174454411","060000","","","","","N","","","","","","N","A-00123722","1","10632214","08"
2016044219,"02","7","341 SNYDER HOLLOW ROAD","","NEW PROVIDENCE","PA","17560","WILLIAM DAVIS & SONS SEPTIC CLEA","7172843688","058400","","","","","N","","","","","","N","","2","00896249","03"
2016045977,"99","1","UNKNOWN","UNKNOWN","UNKNOWN","ZZ","99999","FEDEX","9999999999","999999","","","","","N","","","","","","N","","1","","08"
2016049771,"99","9","UNKNOWN","","UNKNOWN","ZZ","99999999","UNKNOWN","9999999999","999999","","","","","N","","","","","","U","","2","99999999","08"
